provider	URL	course	webinar_date	webinar_duration	webinare_title
Other	https://kinescope.io/embed/201001539	Other	2022-03-30T09:50:49+00:00	PT34M12.784S	Оптимизации уровня CPU / Андрей Акиньшин (JetBrains)
Other	https://kinescope.io/embed/201001541	Other	2022-03-30T09:50:49+00:00	PT48M22.657S	Как мы разрабатываем новый фронтенд Tinkoff.ru / Филипп Нехаев (Tinkoff.ru)
Other	https://kinescope.io/embed/201001543	Other	2022-03-30T09:50:50+00:00	PT55M21.801S	Платежная система за год / Филипп Дельгядо (Информационные технологии и системы)
Other	https://kinescope.io/embed/201001545	Other	2022-03-30T09:50:50+00:00	PT45M52.842S	О фреймворках / Роман Ивлиев (Банки.ру)
Other	https://kinescope.io/embed/201001547	Other	2022-03-30T09:50:50+00:00	PT36M14.781S	Классические архитектуры во фронтенде / Александра Шинкевич (LOVATA)
Other	https://kinescope.io/embed/201001551	Other	2022-03-30T09:50:50+00:00	PT59M21.988S	Чему мы научились, разрабатывая микросервисы? / Вадим Мадисон (М-Тех)
Other	https://kinescope.io/embed/201001553	Other	2022-03-30T09:50:50+00:00	PT32M35.074S	Как не выстрелить себе в ногу из конечного автомата / Александр Сычев (RAMBLER&amp;Co)
Other	https://kinescope.io/embed/201001557	Other	2022-03-30T09:50:50+00:00	PT36M30.478S	Тошнит от колец
Other	https://kinescope.io/embed/201001563	Other	2022-03-30T09:50:51+00:00	PT1H16M32.954S	Воспитать в себе обезьяну / Максим Дорофеев (mnogosdelal.ru)
Other	https://kinescope.io/embed/201001571	Other	2022-03-30T09:50:51+00:00	PT39M10.905S	Архитектура поиска в Avito / Андрей Смирнов (Avito)
Other	https://kinescope.io/embed/201001575	Other	2022-03-30T09:50:51+00:00	PT31M10.112S	Мифы, которые мешают бизнесу расти / Дмитрий Калаев (ФРИИ)
Other	https://kinescope.io/embed/201001579	Other	2022-03-30T09:50:52+00:00	PT35M2.891S	Радости и гадости регрессионного тестирования вёрстки / Алексей Малейков (HTML Academy)
Other	https://kinescope.io/embed/201001581	Other	2022-03-30T09:50:52+00:00	PT46M12.788S	Конструктор / Денис Паясь (Яндекс)
Other	https://kinescope.io/embed/201001587	Other	2022-03-30T09:50:52+00:00	PT49M41.327S	Пишем тестируемый код / Евгений Мацюк (Kaspersky Lab)
