provider	URL	course	webinar_date	webinar_duration	webinare_title
Other	https://kinescope.io/embed/201002765	Other	2022-03-30T11:10:57+00:00	PT37M51.191S	Евгений Потапов и Антон Баранов — Преждевременная оптимизация архитектуры
Other	https://kinescope.io/embed/201002767	Other	2022-03-30T11:10:57+00:00	PT45M4.707S	Наталия Ефремова — Нейронные сети
Other	https://kinescope.io/embed/201002769	Other	2022-03-30T11:10:57+00:00	PT33M20.469S	Владимир Бородин — История успеха Яндекс.Почты с PostgreSQL
Other	https://kinescope.io/embed/201002771	Other	2022-03-30T11:10:58+00:00	PT33M41.855S	Владимир Протасов — OpenResty
Other	https://kinescope.io/embed/201002773	Other	2022-03-30T11:10:58+00:00	PT34M0.268S	Никита Духовный — Балансировка нагрузки и отказоустойчивость в Одноклассниках
Other	https://kinescope.io/embed/201002775	Other	2022-03-30T11:10:58+00:00	PT42M37.539S	Александр Лебедев — Дизайн REST API для высокопроизводительных систем
Other	https://kinescope.io/embed/201002777	Other	2022-03-30T11:10:58+00:00	PT30M18.587S	Слава Бахмутов — Особенности архитектуры распределённого хранилища в Dropbox
Other	https://kinescope.io/embed/201002779	Other	2022-03-30T11:10:58+00:00	PT39M47.778S	Петр Зайцев — MySQL® и MongoDB® - когда что лучше использовать?
Other	https://kinescope.io/embed/201002781	Other	2022-03-30T11:10:58+00:00	PT53M53.495S	Андрей Аксенов — Снесите это немедленно
Other	https://kinescope.io/embed/201002783	Other	2022-03-30T11:10:59+00:00	PT53M56.421S	Вадим Мадисон — Микросервисы
Other	https://kinescope.io/embed/201002787	Other	2022-03-30T11:10:59+00:00	PT52M4.06S	Александр Зайцев — Переезжаем на Yandex ClickHouse
Other	https://kinescope.io/embed/201002789	Other	2022-03-30T11:10:59+00:00	PT47M13.973S	Валентин Гогичашвили — События, шины и интеграция данных в непростом мире микросервисов
Other	https://kinescope.io/embed/201002791	Other	2022-03-30T11:10:59+00:00	PT40M46.734S	Олег Облеухов — Как сделать высоконагруженный сервис, не зная количество нагрузки
Other	https://kinescope.io/embed/201002794	Other	2022-03-30T11:10:59+00:00	PT51M18.27S	Виктор Тарнавский — ClickHouse
Other	https://kinescope.io/embed/201002796	Other	2022-03-30T11:10:59+00:00	PT52M39.075S	Иван Круглов — Архитектура поиска в Booking.com
Other	https://kinescope.io/embed/201002800	Other	2022-03-30T11:11:00+00:00	PT45M13.345S	Как сделать ваш JavaScript быстрее / Роман Дворнов (Авито)
Other	https://kinescope.io/embed/201002806	Other	2022-03-30T11:11:00+00:00	PT52M52.311S	Архитектура хранения и отдачи фотографий в Badoo / Артем Денисов (Badoo)
Other	https://kinescope.io/embed/201002810	Other	2022-03-30T11:11:00+00:00	PT1H38M33.426S	Современные архитектуры диалоговых систем / Анатолий Востряков (Segmento)
Other	https://kinescope.io/embed/201002818	Other	2022-03-30T11:11:01+00:00	PT33M15.454S	Архитектура и алгоритмы для индексации всей музыки ВКонтакте / Алексей Акулович (ВКонтакте)
Other	https://kinescope.io/embed/201002826	Other	2022-03-30T11:11:02+00:00	PT56M47.111S	Что нового в nginx? / Максим Дунин (Nginx, Inc.)
Other	https://kinescope.io/embed/201002834	Other	2022-03-30T11:11:02+00:00	PT56M27.908S	Опыт миграции между дата-центрами / Михаил Тюрин, Сергей Бурладян (Avito)
Other	https://kinescope.io/embed/201002836	Other	2022-03-30T11:11:02+00:00	PT54M56.305S	Долгожданный релиз pg_pathman 1.0 / Александр Коротков
Other	https://kinescope.io/embed/201002838	Other	2022-03-30T11:11:03+00:00	PT46M32.757S	Внутреннее устройство PostgreSQL / Григорий Смолкин, Сергей Петров (Postgres Professional)
Other	https://kinescope.io/embed/201002842	Other	2022-03-30T11:11:03+00:00	PT53M53.588S	Зачем нужен мультимастер? / Илья Космодемьянский (PostgreSQL-Consulting LLC)
Other	https://kinescope.io/embed/201002844	Other	2022-03-30T11:11:03+00:00	PT50M57.163S	PostgreSQL
Other	https://kinescope.io/embed/201002851	Other	2022-03-30T11:11:03+00:00	PT59M9.844S	ELK
Other	https://kinescope.io/embed/201002861	Other	2022-03-30T11:11:04+00:00	PT59M10.61S	Собираем Docker-образы быстро и удобно / Дмитрий Столяров (Флант)
Other	https://kinescope.io/embed/201002865	Other	2022-03-30T11:11:05+00:00	PT48M20.475S	Как не положить тысячи серверов /  Дмитрий Самсонов (Одноклассники)
Other	https://kinescope.io/embed/201002869	Other	2022-03-30T11:11:05+00:00	PT53M16.018S	Zabbix 3.2 - мониторинг качественно нового уровня / Алексей Владышев (Zabbix)
Other	https://kinescope.io/embed/201002873	Other	2022-03-30T11:11:05+00:00	PT50M58.092S	5 способов деплоя PHP-кода в условиях хайлоада / Юрий Насретдинов (Badoo)
Other	https://kinescope.io/embed/201002881	Other	2022-03-30T11:11:06+00:00	PT43M0.364S	Хочу знать, сколько посетителей было на сайте в прошлом /  Константин Игнатов (Qrator Labs)
Other	https://kinescope.io/embed/201002883	Other	2022-03-30T11:11:06+00:00	PT28M7.72S	A/Б-тестирование
Other	https://kinescope.io/embed/201002887	Other	2022-03-30T11:11:07+00:00	PT29M29.152S	Как FB, Apple и Google разрушают традиции в компьютерном бизнесе / Андрей Чернышев (Delta Solutions)
Other	https://kinescope.io/embed/201002889	Other	2022-03-30T11:11:07+00:00	PT1H0M32.553S	Как смигрировать 50Пб в 32 без даунтайма? / Альберт Галимов, Андрей Сумин (Mail.ru)
Other	https://kinescope.io/embed/201002895	Other	2022-03-30T11:11:07+00:00	PT46M39.793S	Peeking into the Black Hole Called PL/PGSQL - the New PL Profiler / Jan Wieck (OpenSCG)
Other	https://kinescope.io/embed/201002901	Other	2022-03-30T11:11:08+00:00	PT44M56.557S	En, Evaluation of High Availability Performance of Kubernetes / Mathias Renner (Hypriot Ltd.)
Other	https://kinescope.io/embed/201002903	Other	2022-03-30T11:11:08+00:00	PT30M12.109S	Хорошо поддерживаемое в продакшне приложение / Николай Сивко (okmeter.io)
Other	https://kinescope.io/embed/201002909	Other	2022-03-30T11:11:08+00:00	PT52M0.6S	Как мы сделали PHP 7 в два раза быстрее PHP 5 / Дмитрий Стогов (Zend Technologies)
Other	https://kinescope.io/embed/201002911	Other	2022-03-30T11:11:09+00:00	PT56M22.196S	Remote HighLoad / Андрей Смирнов
Other	https://kinescope.io/embed/201002915	Other	2022-03-30T11:11:09+00:00	PT1H38M33.473S	Современные архитектуры диалоговых систем / Анатолий Востряков (Segmento)
Other	https://kinescope.io/embed/201002917	Other	2022-03-30T11:11:09+00:00	PT4M18.648S	Видеоотчёт о HighLoad++ 2016
Other	https://kinescope.io/embed/201002924	Other	2022-03-30T11:11:48+00:00	PT34M28.688S	Испытание поединком
Other	https://kinescope.io/embed/201002929	Other	2022-03-30T11:11:48+00:00	PT3M0.327S	Российские интернет-технологии 2016 (РИТ++ 2016)
Other	https://kinescope.io/embed/201002931	Other	2022-03-30T11:11:49+00:00	PT33M40.276S	Prometheus
Other	https://kinescope.io/embed/201002933	Other	2022-03-30T11:11:49+00:00	PT49M2.99S	10 способов достижения HighLoad&#39;а и BigData на ровном месте/Илья Космодемьянский
Other	https://kinescope.io/embed/201002939	Other	2022-03-30T11:11:49+00:00	PT34M12.784S	Оптимизации уровня CPU / Андрей Акиньшин (JetBrains)
Other	https://kinescope.io/embed/201002941	Other	2022-03-30T11:11:49+00:00	PT48M22.657S	Как мы разрабатываем новый фронтенд Tinkoff.ru / Филипп Нехаев (Tinkoff.ru)
Other	https://kinescope.io/embed/201002943	Other	2022-03-30T11:11:49+00:00	PT55M21.801S	Платежная система за год / Филипп Дельгядо (Информационные технологии и системы)
Other	https://kinescope.io/embed/201002945	Other	2022-03-30T11:11:50+00:00	PT45M52.842S	О фреймворках / Роман Ивлиев (Банки.ру)
Other	https://kinescope.io/embed/201002947	Other	2022-03-30T11:11:50+00:00	PT36M14.781S	Классические архитектуры во фронтенде / Александра Шинкевич (LOVATA)
Other	https://kinescope.io/embed/201002951	Other	2022-03-30T11:11:50+00:00	PT59M21.988S	Чему мы научились, разрабатывая микросервисы? / Вадим Мадисон (М-Тех)
Other	https://kinescope.io/embed/201002953	Other	2022-03-30T11:11:50+00:00	PT32M35.074S	Как не выстрелить себе в ногу из конечного автомата / Александр Сычев (RAMBLER&amp;Co)
Other	https://kinescope.io/embed/201002957	Other	2022-03-30T11:11:50+00:00	PT36M30.478S	Тошнит от колец
Other	https://kinescope.io/embed/201002971	Other	2022-03-30T11:11:51+00:00	PT39M10.905S	Архитектура поиска в Avito / Андрей Смирнов (Avito)
Other	https://kinescope.io/embed/201002979	Other	2022-03-30T11:11:52+00:00	PT35M2.891S	Радости и гадости регрессионного тестирования вёрстки / Алексей Малейков (HTML Academy)
Other	https://kinescope.io/embed/201002981	Other	2022-03-30T11:11:52+00:00	PT46M12.788S	Конструктор / Денис Паясь (Яндекс)
Other	https://kinescope.io/embed/201002987	Other	2022-03-30T11:11:53+00:00	PT49M41.327S	Пишем тестируемый код / Евгений Мацюк (Kaspersky Lab)
Other	https://kinescope.io/embed/201002991	Other	2022-03-30T11:11:53+00:00	PT50M53.959S	noBackend, или Как выжить в эпоху толстеющих клиентов / Николай Самохвалов
